facility_id,datetime,value,data_source,poll,unit
C1400170,2019-03-01,2833.708451672726,tw_epa,nox,kg
C1400170,2019-03-02,2838.442698233127,tw_epa,nox,kg
C1400170,2019-03-03,3248.871142281601,tw_epa,nox,kg
C1400170,2019-03-04,7802.96191479895,tw_epa,nox,kg
C1400170,2019-03-05,8781.18609199251,tw_epa,nox,kg
C1400170,2019-03-06,8475.531241158022,tw_epa,nox,kg
C1400170,2019-03-07,4334.106759719586,tw_epa,nox,kg
C1400170,2019-03-08,6649.995695595377,tw_epa,nox,kg
C1400170,2019-03-09,2985.525119829393,tw_epa,nox,kg
C1400170,2019-03-10,3417.60486695546,tw_epa,nox,kg
C1400170,2019-03-11,5823.917763884356,tw_epa,nox,kg
C1400170,2019-03-12,4087.503942562936,tw_epa,nox,kg
C1400170,2019-03-13,5452.5238120264,tw_epa,nox,kg
C1400170,2019-03-14,5690.945895321503,tw_epa,nox,kg
C1400170,2019-03-15,5154.418138520458,tw_epa,nox,kg
C1400170,2019-03-16,888.582908545083,tw_epa,nox,kg
C1400170,2019-03-18,4681.025662268798,tw_epa,nox,kg
C1400170,2019-03-19,8085.913772537646,tw_epa,nox,kg
C1400170,2019-03-20,8288.198846905172,tw_epa,nox,kg
C1400170,2019-03-21,9559.908519656425,tw_epa,nox,kg
C1400170,2019-03-22,7506.809584266901,tw_epa,nox,kg
C1400170,2019-03-23,2797.015248361755,tw_epa,nox,kg
C1400170,2019-03-24,2758.564909998236,tw_epa,nox,kg
C1400170,2019-03-25,5291.598423854269,tw_epa,nox,kg
C1400170,2019-03-26,7128.449163924958,tw_epa,nox,kg
C1400170,2019-03-27,7768.336572935024,tw_epa,nox,kg
C1400170,2019-03-28,8554.020141502002,tw_epa,nox,kg
C1400170,2019-03-29,6446.0311419448735,tw_epa,nox,kg
C1400170,2019-03-30,2717.263602301999,tw_epa,nox,kg
C1400170,2019-03-31,2926.091658119226,tw_epa,nox,kg
C1400170,2019-04-01,5725.179528847401,tw_epa,nox,kg
C1400170,2019-04-02,5837.412737296004,tw_epa,nox,kg
C1400170,2019-04-03,4494.886312395398,tw_epa,nox,kg
C1400170,2019-04-04,1443.2142741791301,tw_epa,nox,kg
C1400170,2019-04-05,1305.790658808649,tw_epa,nox,kg
C1400170,2019-04-06,1275.1470348031091,tw_epa,nox,kg
C1400170,2019-04-07,1701.328423809146,tw_epa,nox,kg
C1400170,2019-04-08,7085.050812688451,tw_epa,nox,kg
C1400170,2019-04-09,7515.031508110372,tw_epa,nox,kg
C1400170,2019-04-10,7401.334543176353,tw_epa,nox,kg
C1400170,2019-04-11,7640.687907040505,tw_epa,nox,kg
C1400170,2019-04-12,5234.897155893786,tw_epa,nox,kg
C1400170,2019-04-13,2769.138872518263,tw_epa,nox,kg
C1400170,2019-04-14,2654.478478675746,tw_epa,nox,kg
C1400170,2019-04-15,4531.701055491423,tw_epa,nox,kg
C1400170,2019-04-16,5031.2248588758475,tw_epa,nox,kg
C1400170,2019-04-17,4932.255110196504,tw_epa,nox,kg
C1400170,2019-04-18,7797.283881325533,tw_epa,nox,kg
C1400170,2019-04-19,5813.871574452023,tw_epa,nox,kg
C1400170,2019-04-20,3517.725100003698,tw_epa,nox,kg
C1400170,2019-04-21,2440.910034732578,tw_epa,nox,kg
C1400170,2019-04-22,6769.828344232808,tw_epa,nox,kg
C1400170,2019-04-23,7230.656521246485,tw_epa,nox,kg
C1400170,2019-04-24,4792.468772107821,tw_epa,nox,kg
C1400170,2019-04-25,5172.272459698821,tw_epa,nox,kg
C1400170,2019-04-26,9986.570793362429,tw_epa,nox,kg
C1400170,2019-04-27,4709.274231988053,tw_epa,nox,kg
C1400170,2019-04-28,4430.340784889429,tw_epa,nox,kg
C1400170,2019-04-29,7435.725181789832,tw_epa,nox,kg
C1400170,2019-04-30,10191.695653583241,tw_epa,nox,kg
C1400170,2019-05-01,4562.679772515716,tw_epa,nox,kg
C1400170,2019-05-02,4444.320004504316,tw_epa,nox,kg
C1400170,2019-05-03,4479.879215502683,tw_epa,nox,kg
C1400170,2019-05-04,2424.989277011984,tw_epa,nox,kg
C1400170,2019-05-05,2068.311732647463,tw_epa,nox,kg
C1400170,2019-05-06,2227.764605057453,tw_epa,nox,kg
C1400170,2019-05-07,1815.655011765789,tw_epa,nox,kg
C1400170,2019-05-08,2146.817068282729,tw_epa,nox,kg
C1400170,2019-05-09,1954.357809192103,tw_epa,nox,kg
C1400170,2019-05-10,2471.8908151795968,tw_epa,nox,kg
C1400170,2019-05-11,2478.315305445112,tw_epa,nox,kg
C1400170,2019-05-12,2464.405163121252,tw_epa,nox,kg
C1400170,2019-05-13,2888.893459050825,tw_epa,nox,kg
C1400170,2019-05-14,6211.776606772263,tw_epa,nox,kg
C1400170,2019-05-15,4904.037636822145,tw_epa,nox,kg
C1400170,2019-05-16,5119.065579173436,tw_epa,nox,kg
C1400170,2019-05-17,3809.275730963473,tw_epa,nox,kg
C1400170,2019-05-18,4162.377527960726,tw_epa,nox,kg
C1400170,2019-05-19,4498.110187946251,tw_epa,nox,kg
C1400170,2019-05-20,3204.26510629411,tw_epa,nox,kg
C1400170,2019-05-21,3416.612328357369,tw_epa,nox,kg
C1400170,2019-05-22,2506.143134507295,tw_epa,nox,kg
C1400170,2019-05-23,2708.545923777197,tw_epa,nox,kg
C1400170,2019-05-24,2722.9269681647747,tw_epa,nox,kg
C1400170,2019-05-25,2787.976184082206,tw_epa,nox,kg
C1400170,2019-05-26,2768.192509164982,tw_epa,nox,kg
C1400170,2019-05-27,2751.194698441655,tw_epa,nox,kg
C1400170,2019-05-28,2817.674900052087,tw_epa,nox,kg
C1400170,2019-05-29,2849.709883368652,tw_epa,nox,kg
C1400170,2019-05-30,2792.673114852442,tw_epa,nox,kg
C1400170,2019-05-31,2728.643185377921,tw_epa,nox,kg
C1400170,2019-06-01,2678.079466376353,tw_epa,nox,kg
C1400170,2019-06-02,2740.766447707583,tw_epa,nox,kg
C1400170,2019-06-03,2773.111012607301,tw_epa,nox,kg
C1400170,2019-06-04,2781.577004006224,tw_epa,nox,kg
C1400170,2019-06-05,2745.080450280533,tw_epa,nox,kg
C1400170,2019-06-06,2720.064041445683,tw_epa,nox,kg
C1400170,2019-06-07,2735.745485147837,tw_epa,nox,kg
C1400170,2019-06-08,2760.036487108217,tw_epa,nox,kg
C1400170,2019-06-09,2772.308400821063,tw_epa,nox,kg
C1400170,2019-06-10,2724.553544828253,tw_epa,nox,kg
C1400170,2019-06-11,2535.150497544836,tw_epa,nox,kg
